No.,Acceptor,ET1,AL,AR,D
124,¿‡À∆ITIC2,1.2611,2.0526,2.0526,1.9021
40,mF-ITIC,1.2601,2.0526,2.0526,1.9328
17,IT-DOH,1.2586,2.003,2.003,1.9316
6,ITIC-3F-1,1.2585,2.0396,2.0467,1.9316
83,C8-IT-4F,1.2585,2.0467,2.0467,1.9529
34,pO-ITIC,1.2579,2.0526,2.0526,1.9307
68,IDMIC-4F,1.2577,2.0467,2.0467,1.9314
116,SeTIC,1.2576,2.0526,2.0526,1.8884
112,drect-ITIC-4F,1.2563,2.0467,2.0467,1.942
128,BTP-4Cl,1.2561,2.011,2.011,1.829
19,a-ITIC-2Cl,1.2549,2.011,2.0526,1.9316
66,ITIC-Cl-2-Th,1.2546,2.0261,1.9795,1.9316
110,INIC3,1.254,2.0467,2.0467,1.8098
57,m-ITIC-2F-1V4,1.2539,2.0396,2.0396,1.9309
3,ITIC-2F-1V4,1.2536,2.0396,2.0396,1.9316
25,MEIC,1.2533,1.9373,1.9373,1.9316
87,sp-mOEh-ITIC-4F,1.2531,2.0467,2.0467,1.9385
12,ITIC-2Br-1V4,1.2529,2.0349,2.0349,1.9316
15,ITCF3-1V4,1.2528,2.032,2.032,1.9316
86,IOM-4F,1.2526,2.0467,2.0467,1.9133
62,ITIC6-2F-1V4,1.2522,2.0396,2.0396,1.9282
8,ITIC-2Cl-1V4,1.2521,2.0347,2.0347,1.9316
65,ITIC-Cl-1-Th,1.2491,2.0347,1.9795,1.9316
130,N3-4Cl,1.2486,2.011,2.011,1.784
24,ITCPTC,1.2464,1.9795,1.9795,1.9316
126,SeTIC4Cl,1.2463,2.011,2.011,1.8884
108,INIC2-1V4,1.2462,2.0396,2.0396,1.8098
70,POIT-IC4F,1.2451,2.0467,2.0467,1.9307
107,INIC1,1.2451,2.0146,2.0146,1.8098
10,ITIC-2Cl-3V6,1.2447,2.0042,2.0042,1.9316
11,ITIC-4Cl,1.2438,2.011,2.011,1.9316
67,ITIC-2Cl-1V2-Th,1.2438,2.0261,1.9795,1.9316
60,IT-4Cl-C8,1.2433,2.011,2.011,1.931
61,IT-4Cl-C10,1.2431,2.011,2.011,1.9309
85,IM-4F,1.2427,2.0467,2.0467,1.9274
16,ITCF3-2V5,1.2393,2.0196,2.0196,1.9316
82,ITIC-6F,1.2387,2.0066,2.0066,1.9316
79,ITN-C9,1.2366,1.8487,1.8487,1.9312
69,m-ITIC-OR-4Cl,1.2365,2.011,2.011,1.9312
53,POIT-IC2F-1V4,1.2355,2.0396,2.0396,1.9307
88,sp-mOEh-ITIC-4Cl,1.2321,2.011,2.011,1.9385
145,BDCPDT-TTC,1.2285,1.9116,1.9116,1.7443
43,ITC-2Br2,1.2279,1.9172,1.9172,1.9316
81,ITN-F4,1.2253,1.8741,1.8741,1.9312
26,ITC2Cl,1.2247,1.9163,1.9163,1.9316
139,SiOTIC,1.2231,2.0526,2.0526,2.0643
167,INPIC,1.2189,2.0526,2.0526,1.814
113,BDCPDT-BC,1.2176,1.8208,1.8208,1.7443
77,ITThBC,1.1969,1.982,1.982,1.9216
102,NFBDT-Me-2V5,1.1959,2.0558,2.0558,1.7443
104,NFBDT-F-2V5,1.1879,2.0587,2.0587,1.7443
101,NFBDT-Me-1V4,1.1875,2.0574,2.0574,1.7443
100,NFBDT,1.1841,2.0526,2.0526,1.7443
144,BDCPDT-FIC,1.1735,2.0467,2.0467,1.7443
147,NCBDT-2v5,1.173,2.0587,2.0587,1.7696
158,NOIC1,1.1656,2.0467,2.0467,1.771
103,NFBDT-F-1V4,1.165,2.0396,2.0396,1.7443
146,NCBDT-1v4,1.1499,2.0396,2.0396,1.7696
148,NNBDT,1.1403,1.8487,1.8487,1.7696
141,6TBA,1.1347,2.303,2.303,1.501
156,FNIC2,1.1301,2.0467,2.0467,1.6339
99,IOIC2,1.0961,2.0467,2.0467,1.561
177,COi8DFIC,1.0771,2.0467,2.0467,1.5057
142,4TIC,1.073,2.0526,2.0526,1.6174
143,4TIC-4F,1.0656,2.0467,2.0467,1.6174
174,FOIC-2V5,1.0495,2.0587,2.0587,1.501
111,IOIC3,1.0392,2.0467,2.0467,1.4916
175,F8IC,1.0369,2.0467,2.0467,1.501
