No. ,Molecule name,ET1,AL,-D-,AR
102,ITIC2,1.2611,2.0526,1.9021,2.0526
103,mF-ITIC,1.2601,2.0526,1.9328,2.0526
104,IT-DOH,1.2586,2.003,1.9316,2.003
105,ITIC-3F-1,1.2585,2.0396,1.9316,2.0467
106,C8-IT-4F,1.2585,2.0467,1.9529,2.0467
107,pO-ITIC,1.2579,2.0526,1.9307,2.0526
108,IDMIC-4F,1.2577,2.0467,1.9314,2.0467
109,SeTIC,1.2576,2.0526,1.8884,2.0526
110,drect-ITIC-4F,1.2563,2.0467,1.942,2.0467
111,BTP-4Cl,1.2561,2.011,1.829,2.011
112,a-ITIC-2Cl,1.2549,2.0526,1.9316,2.011
113,ITIC-Cl-2-Th,1.2546,2.0261,1.9316,1.9795
114,INIC3,1.254,2.0467,1.8098,2.0467
115,m-ITIC-2F-1V4,1.2539,2.0396,1.9309,2.0396
116,ITIC-2F-1V4,1.2536,2.0396,1.9316,2.0396
117,MEIC,1.2533,1.9373,1.9316,1.9373
118,sp-mOEh-ITIC-4F,1.2531,2.0467,1.9385,2.0467
119,ITIC-2Br-1V4,1.2529,2.0349,1.9316,2.0349
120,ITCF3-1V4,1.2528,2.032,1.9316,2.032
121,IOM-4F,1.2526,2.0467,1.9133,2.0467
122,ITIC6-2F-1V4,1.2522,2.0396,1.9282,2.0396
123,ITIC-2Cl-1V4,1.2521,2.0347,1.9316,2.0347
124,ITIC-Cl-1-Th,1.2491,2.0347,1.9316,1.9795
125,N3-4Cl,1.2486,2.011,1.784,2.011
126,ITCPTC,1.2464,1.9795,1.9316,1.9795
127,SeTIC4Cl,1.2463,2.011,1.8884,2.011
128,INIC2-1V4,1.2462,2.0396,1.8098,2.0396
129,POIT-IC4F,1.2451,2.0467,1.9307,2.0467
130,INIC1,1.2451,2.0146,1.8098,2.0146
131,ITIC-2Cl-3V6,1.2447,2.0042,1.9316,2.0042
132,ITIC-4Cl,1.2438,2.011,1.9316,2.011
133,ITIC-2Cl-1V2-Th,1.2438,2.0261,1.9316,1.9795
134,IT-4Cl-C8,1.2433,2.011,1.931,2.011
135,IT-4Cl-C10,1.2431,2.011,1.9309,2.011
136,IM-4F,1.2427,2.0467,1.9274,2.0467
137,ITCF3-2V5,1.2393,2.0196,1.9316,2.0196
138,ITIC-6F,1.2387,2.0066,1.9316,2.0066
139,ITN-C9,1.2366,1.8487,1.9312,1.8487
140,m-ITIC-OR-4Cl,1.2365,2.011,1.9312,2.011
141,POIT-IC2F-1V4,1.2355,2.0396,1.9307,2.0396
142,sp-mOEh-ITIC-4Cl,1.2321,2.011,1.9385,2.011
143,BDCPDT-TTC,1.2285,1.9116,1.7443,1.9116
144,ITC-2Br2,1.2279,1.9172,1.9316,1.9172
145,ITN-F4,1.2253,1.8741,1.9312,1.8741
146,ITC2Cl,1.2247,1.9163,1.9316,1.9163
147,SiOTIC,1.2231,2.0526,2.0643,2.0526
148,INPIC,1.2189,2.0526,1.814,2.0526
149,BDCPDT-BC,1.2176,1.8208,1.7443,1.8208
150,ITThBC,1.1969,1.982,1.9216,1.982
151,NFBDT-Me-2V5,1.1959,2.0558,1.7443,2.0558
152,NFBDT-F-2V5,1.1879,2.0587,1.7443,2.0587
153,NFBDT-Me-1V4,1.1875,2.0574,1.7443,2.0574
154,NFBDT,1.1841,2.0526,1.7443,2.0526
155,BDCPDT-FIC,1.1735,2.0467,1.7443,2.0467
156,NCBDT-2v5,1.173,2.0587,1.7696,2.0587
157,NOIC1,1.1656,2.0467,1.771,2.0467
158,NFBDT-F-1V4,1.165,2.0396,1.7443,2.0396
159,NCBDT-1v4,1.1499,2.0396,1.7696,2.0396
160,NNBDT,1.1403,1.8487,1.7696,1.8487
161,6TBA,1.1347,2.303,1.501,2.303
162,FNIC2,1.1301,2.0467,1.6339,2.0467
163,IOIC2,1.0961,2.0467,1.561,2.0467
164,COi8DFIC,1.0771,2.0467,1.5057,2.0467
165,4TIC,1.073,2.0526,1.6174,2.0526
166,4TIC-4F,1.0656,2.0467,1.6174,2.0467
167,FOIC-2V5,1.0495,2.0587,1.501,2.0587
168,IOIC3,1.0392,2.0467,1.4916,2.0467
169,F8IC,1.0369,2.0467,1.501,2.0467
